Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Ващук,Болеслав,Федорович,male,1978-10-31,Хореограф,село Васильків,"вулиця 1-ша Лінія Марії Демченко, буд. 8 кв. 47, Дніпрорудне, 45138",837-54-95,radchenkoustym@example.org
Ажажа,Михайлина,Миколаївна,female,1962-11-14,Сантехнік,селище Малин,"вулиця Чорноморський, буд. 07 кв. 956, Герца, 51757",+380 05 183-40-02,solomiia62@example.net
Артеменко,Богуслава,Володимирівна,female,1970-08-03,Інженер,хутір Керч,"провулок Навігаційний, буд. 002, Волочиськ, 40280",+380 (65) 777-63-94,olha26@example.net
Ковпак,Розалія,Ярославівна,female,2009-08-20,Літературознавець,селище Городок,"площа Панаса Саксаганського, буд. 5 кв. 563, Рівне, 55786",+380 (44) 559-10-05,svitlanashakhrai@example.org
Кибкало,Зиновій,Артемович,male,2000-09-02,Реабілітолог,селище Новодружеськ,"провулок Листяний, буд. 4, Ніжин, 13420",+380 (86) 683-55-96,hordiiieresko@example.com
Тесля,Ліза,Володимирівна,female,1953-09-26,Флорист,село Сватове,"проспект Юзефа Крашевського, буд. 488, Липовець, 94585",+380 (54) 823-48-96,panchuknestor@example.net
Бабʼюк,Симон,Тарасович,male,1939-06-08,Кіноактор,місто Новгород-Сіверський,"сквер Бітумна, буд. 8 кв. 74, Копичинці, 19209",+380 15 009-08-55,iaroslavazaruba@example.net
Захарченко,Ада,Володимирівна,female,1958-03-04,Математик,місто Бершадь,"проспект Велика Арнаутська, буд. 3, Ужгород, 55543",788 56 12,baranetsvarvara@example.com
Данькевич,Вікторія,Геннадіївна,female,1976-08-03,Співак,місто Кам'янка-Дніпровська,"сквер Естафетна, буд. 4 кв. 405, Тальне, 39891",978-27-48,milenaiaremenko@example.net
Гоголь,Роксолана,Петрівна,female,1978-10-21,Каскадер,місто Буськ,"парк Фахова, буд. 933, Надвірна, 99281",004 500-30-84,halynakalenychenko@example.org
Валенко,Ада,Володимирівна,female,1981-06-05,Співак,селище Звенигородка,"парк Новощіпний ряд, буд. 855, Кам'янка-Дніпровська, 18657",+380 (17) 312-84-32,alevtyn46@example.net
Даниленко,Валентина,Зіновіївна,female,1999-08-08,Краєзнавець,місто Костопіль,"парк Болградська, буд. 91 кв. 0, Токмак, 02528",017 594-24-98,eakymenko@example.org
Опанасенко,Михайло,Петрович,male,1976-02-08,Графік,місто Кам'янець-Подільський,"площа Бродська, буд. 4, Гадяч, 68178",+380 90 481-22-12,ndankiv@example.net
Медведенко,Клавдія,Анатоліївна,female,1991-11-29,Паблік рилейшнз,село Ірпінь,"шосе Хвойний, буд. 768 кв. 05, Яремче, 80012",+380 31 757-54-38,dankoleontii@example.net
Михалюк,Леонід,Євгенович,male,1963-10-27,Ріелтор,місто Кам'янець-Подільський,"проспект Моторний 3-й, буд. 38 кв. 75, Каховка, 90203",+380 (48) 968-07-94,tetianasmyk@example.com
Павленко,Ростислав,Євгенович,male,2005-04-26,Намотувальник,місто Шептицький,"вулиця Західний 3-й, буд. 9, Устилуг, 80735",+380 28 321 60 64,orlykmakar@example.org
Іващенко,Василина,Ульянівна,female,1989-12-27,Різноробочий,селище Білопілля,"проспект Цимлянська, буд. 93, Лозова, 25809",+380 92 152 89 69,rostyslavartiukh@example.org
Гаврилюк,Софія,Артемівна,female,1951-01-09,Кіноактор,хутір Боярка,"площа Квантовий, буд. 25 кв. 062, Яворів, 63199",+380 (12) 631-82-17,jeibozhenko@example.com
Тичина,Герман,Леонідович,male,2000-03-31,Гірничий інженер,хутір Чистякове,"шосе Вчительська, буд. 56 кв. 2, Макіївка, 10827",035 872 09 69,panteleimononufriienko@example.net
Назаренко,Ігор,Євгенович,male,1962-07-17,Кінокритик,село Скадовськ,"набережна Моторний 2-й, буд. 4, Путивль, 94483",+380 (78) 532-05-62,hmazepa@example.net
Бабич,Азар,Анатолійович,male,1969-09-30,Гірник,село Коростишів,"узвіз Кишинівська, буд. 41 кв. 95, Чортків, 67539",638-51-56,mprykhodko@example.org
Голобородько,Ярослава,Борисівна,female,1966-09-25,Кінолог,місто Зеленодольськ,"узвіз Старосінна, буд. 54 кв. 6, Турка, 95516",009 036 88 06,bohdandankiv@example.org
Штепа,Єфрем,Русланович,male,1970-08-14,Стоматолог,хутір Васильків,"шосе Фестивальний, буд. 803, Вишневе, 86163",027 778 65 01,tvashchenko@example.org
Рубан,Михайлина,Ярославівна,female,1974-05-22,Музичний редактор,село Кремінна,"набережна Розкидайлівська, буд. 128, Золотоноша, 97031",+380 46 019-57-12,lukashvira@example.org
Негода,Ада,Анатоліївна,female,1972-01-08,Астрофізик,село Олевськ,"вулиця Велика Арнаутська, буд. 07 кв. 7, Тячів, 07142",+380 80 179-39-70,oresthunko@example.com
Гук,Вадим,Ігоревич,male,1985-07-18,Флорист,місто Боково-Хрустальне,"узвіз Цимлянська, буд. 11 кв. 718, Бібрка, 94958",+380 91 405 21 52,avhustyn88@example.com
Лисенко,Амалія,Миколаївна,female,1987-06-12,Мистецтвознавець,місто Генічеськ,"парк Юрія Олеші, буд. 68, Середина-Буда, 40708",+380 06 395-45-93,iemelianenkoalina@example.net
Макогон,Аарон,Русланович,male,1962-05-07,Кінорежисер,хутір Макіївка,"парк Заводська 5-та, буд. 6, Кальміуське, 75944",919-80-08,avrelii15@example.com
Масляк,Лілія,Тарасівна,female,1978-01-08,Штукатур,село Чоп,"набережна Андросовський, буд. 585, Волочиськ, 30912",+380 (13) 798-24-23,hishchak@example.org
Данькевич,Альберт,Ігоревич,male,1961-01-13,Ді-джей,хутір Сновськ,"вулиця Павла Вірського, буд. 284 кв. 550, Золочів, 18005",981 78 62,vmasliak@example.com
Дейнеко,Аврелій,Володимирович,male,1949-11-07,Кінолог,місто Ананьїв,"парк Лучиста, буд. 97, Вільнянськ, 42008",+380 83 582-11-16,vira54@example.org
Андрієнко,Максим,Тарасович,male,1963-07-24,Бухгалтер,селище Великі Мости,"шосе Володі Дубініна, буд. 01 кв. 8, Багачеве, 70621",+380 (91) 102-70-70,nskyrda@example.org
Михалюк,Данна,Ярославівна,female,1997-08-13,Професор,хутір Старий Самбір,"проспект Давида Ойстраха, буд. 9 кв. 6, Олександрівськ, 48197",+380 (52) 320-42-58,aleksiichuksemen@example.com
Євтушенко,Марта,Ігорівна,female,1950-08-15,Кушнір,село Прип'ять,"узвіз Ніни Строкатої, буд. 93, Пустомити, 56623",+380 (70) 049-55-60,haievskyizakhar@example.com
Барабаш,Гаврило,Русланович,male,1947-01-10,Пекар,місто Синельникове,"провулок Фруктовий, буд. 40, Корсунь-Шевченківський, 04582",+380 04 870 82 91,milena22@example.net
Стельмах,Тарас,Русланович,male,2001-11-15,Драматург,село Благовіщенське,"узвіз Чорноморський 1-й, буд. 0, Конотоп, 99492",+380 30 305 72 47,lahodavasyl@example.net
Ткач,Орест,Олександрович,male,1999-05-23,Мінералог,хутір Карлівка,"узвіз Пересипська 8-ма, буд. 8 кв. 9, Новий Розділ, 41453",+380 39 757-37-48,anastasiiacherinko@example.net
Верменич,Марта,Геннадіївна,female,2002-09-30,Електромонтер,місто Золочів,"сквер Рачкова, буд. 30 кв. 8, Ірпінь, 57595",+380 (67) 599-83-76,valentyn88@example.net
